# same-irrep resonance integrals <phi_left | F(k) | phi_right>
# of the converged crystal Fock operator; energies on the aligned scale
# mix = sin^2(theta) with tan(2 theta) = 2|H| / dE (two-level mixing fraction)
# columns: irrep  left_level  E_left(eV)  right_level  E_right(eV)  |H|(eV)  dE(eV)  mix(%)

# k point A (1/2,1/2,1/2)
A3     Ti 3d A3               9.088  O 3d A3#2             86.402     0.228   77.314    0.00
A3     Ba 5d A3              16.451  O 2p A3                5.248     0.022   11.203    0.00
A5     Ba 5p A5              -3.966  O 3d A5#1             55.375     0.116   59.341    0.00
A5     Ba 5p A5              -3.966  O 3d A5#3             62.686     0.107   66.652    0.00
A1     Ti 4s A1              11.977  O 3d A1               60.087     0.064   48.111    0.00
A3     Ba 5d A3              16.451  O 3d A3#2             86.402     0.085   69.951    0.00
A5     Ba 5d A5#1             8.891  O 3p A5#2             72.357     0.070   63.466    0.00
A5     Ba 6p A5              39.842  O 2s A5               -8.604     0.048   48.447    0.00
A3     Ti 3d A3               9.088  O 3d A3#1             62.394     0.051   53.306    0.00
A5     Ti 3p A5             -24.983  O 3d A5#4             64.797     0.069   89.780    0.00
A5     Ba 5p A5              -3.966  O 3d A5#4             64.797     0.053   68.763    0.00
A3     Ba 5p A3              -3.829  O 3p A3               73.735     0.051   77.564    0.00
A5     Ba 5p A5              -3.966  O 3s A5              131.105     0.078  135.071    0.00
A3     Ba 5p A3              -3.829  O 3d A3#1             62.394     0.034   66.223    0.00
A5     Ba 5p A5              -3.966  O 3d A5#2             61.054     0.033   65.020    0.00
A5     Ba 5d A5#1             8.891  O 3d A5#2             61.054     0.022   52.163    0.00
A5     Ba 5p A5              -3.966  O 3p A5#2             72.357     0.032   76.323    0.00
A5     Ti 3d A5               9.151  O 3d A5#2             61.054     0.010   51.903    0.00
A3     Ba 5p A3              -3.829  O 3d A3#2             86.402     0.009   90.231    0.00

# k point GM (0,0,0)
GM1    Ba 7s GM1            142.688  O 3s GM1#1           126.196    36.751   16.492   39.05
GM1    Ti 3d GM1              7.866  O 2p GM1#2             7.169     0.702    0.697   27.77
GM1    Ti 4s GM1#1            5.600  O 2s GM1#1            -9.254     6.188   14.854   11.59
GM1    Ti 3d GM1              7.866  O 2s GM1#2            -8.335     5.300   16.202    8.16
GM1    Ti 4p GM1             15.060  O 2p GM1#1             5.233     3.188    9.827    8.06
GM5    Ti 4p GM5             15.842  O 2p GM5#1             5.314     3.404   10.528    8.02
GM2    Ti 3d GM2              7.930  O 2s GM2              -8.280     5.210   16.210    7.94
GM1    Ba 5s GM1            -18.411  O 2s GM1#1            -9.254     2.348    9.157    5.51
GM1    Ti 3d GM1              7.866  O 2p GM1#1             5.233     0.613    2.634    4.68
GM1    Ba 7s GM1            142.688  O 3s GM1#2           190.330    10.452   47.642    4.21
GM5    Ti 3p GM5            -24.975  O 2p GM5#1             5.314     5.295   30.289    2.80
GM1    Ti 4s GM1#1            5.600  O 2p GM1#1             5.233     0.062    0.367    2.62
GM1    Ti 3p GM1            -24.992  O 2p GM1#1             5.233     5.008   30.225    2.54
GM5    Ti 4d GM5             30.470  O 3d GM5#2            63.262     5.397   32.793    2.51
GM5    Ti 4d GM5             30.470  O 3p GM5              38.315     1.252    7.846    2.37
GM1    Ti 3s GM1            -50.286  O 2s GM1#1            -9.254     6.366   41.032    2.25
GM3    Ti 4d GM3             30.816  O 3d GM3#1            64.245     4.783   33.429    1.93
GM1    Ti 3p GM1            -24.992  O 2s GM1#2            -8.335     2.179   16.657    1.63
GM1    Ba 7s GM1            142.688  O 3d GM1              61.477    10.309   81.211    1.54
GM3    Ba 5d GM3             15.418  O 3d GM3#1            64.245     6.164   48.826    1.52
GM5    Ba 5d GM5             15.185  O 3d GM5#2            63.262     5.616   48.077    1.31
GM1    Ba 5p GM1             -3.518  O 2p GM1#1             5.233     1.012    8.751    1.29
GM5    Ba 5p GM5             -3.409  O 2p GM5#1             5.314     0.950    8.723    1.14
GM5    Ti 3d GM5              9.310  O 2p GM5#3             7.200     0.223    2.111    1.08
GM2    Ti 3d GM2              7.930  O 2p GM2               6.721     0.121    1.209    0.97
GM2    Ba 5d GM2             11.705  O 3p GM2              37.674     2.565   25.969    0.95
GM1    Ba 5d GM1             11.848  O 2p GM1#2             7.169     0.462    4.679    0.95
GM5    Ba 5d GM5             15.185  O 3p GM5              38.315     2.220   23.130    0.90
GM1    Ti 3p GM1            -24.992  O 2p GM1#2             7.169     2.950   32.162    0.82
GM5    Ti 3p GM5            -24.975  O 2p GM5#3             7.200     2.853   32.174    0.77
GM2    Ti 3d GM2              7.930  O 3d GM2#3            62.313     4.769   54.382    0.75
GM5    Ti 4d GM5             30.470  O 3d GM5#3            80.019     3.705   49.549    0.55
GM1    Ti 4s GM1#2           23.252  O 2s GM1#1            -9.254     2.419   32.506    0.54
GM3    Ti 4d GM3             30.816  O 3d GM3#2            79.932     3.474   49.116    0.49
GM1    Ti 3d GM1              7.866  O 3d GM1              61.477     3.765   53.611    0.49
GM3    Ti 3d GM3              9.434  O 3d GM3#2            79.932     4.719   70.497    0.44
GM1    Ti 4p GM1             15.060  O 2p GM1#2             7.169     0.526    7.890    0.44
GM1    Ti 3s GM1            -50.286  O 2p GM1#1             5.233     3.554   55.518    0.40
GM1    Ba 5p GM1             -3.518  O 2s GM1#2            -8.335     0.307    4.817    0.40
GM5    Ti 4p GM5             15.842  O 2p GM5#3             7.200     0.532    8.642    0.38
GM5    Ti 3d GM5              9.310  O 3d GM5#3            80.019     4.289   70.708    0.36
GM5    Ti 3d GM5              9.310  O 2p GM5#2             6.729     0.153    2.581    0.35
GM1    Ti 4s GM1#2           23.252  O 3s GM1#2           190.330     9.513  167.078    0.32
GM5    Ba 5p GM5             -3.409  O 2p GM5#3             7.200     0.594   10.608    0.31
GM1    Ti 4p GM1             15.060  O 2s GM1#2            -8.335     1.279   23.395    0.30
GM1    Ba 5p GM1             -3.518  O 2p GM1#2             7.169     0.568   10.688    0.28
GM1    Ti 4s GM1#2           23.252  O 3s GM1#1           126.196     5.427  102.945    0.28
GM1    Ti 4s GM1#2           23.252  O 3d GM1              61.477     2.011   38.225    0.27
GM1    Ti 3p GM1            -24.992  O 2s GM1#1            -9.254     0.780   15.738    0.24
GM1    Ba 5d GM1             11.848  O 2p GM1#1             5.233     0.301    6.616    0.21
GM1    Ti 3s GM1            -50.286  O 2p GM1#2             7.169     2.527   57.455    0.19
GM2    Ti 3d GM2              7.930  O 3s GM2             130.626     5.132  122.696    0.17
GM1    Ti 4s GM1#1            5.600  O 2p GM1#2             7.169     0.066    1.570    0.17
GM1    Ti 4s GM1#1            5.600  O 3s GM1#2           190.330     7.394  184.730    0.16
GM1    Ti 4p GM1             15.060  O 3d GM1              61.477     1.756   46.417    0.14
GM5    Ti 3d GM5              9.310  O 3p GM5              38.315     1.050   29.005    0.13
GM1    Ti 3s GM1            -50.286  O 3d GM1              61.477     3.889  111.763    0.12
GM2    Ti 3d GM2              7.930  O 3d GM2#1            60.060     1.701   52.130    0.11
GM1    Ti 3d GM1              7.866  O 3s GM1#1           126.196     3.830  118.330    0.10
GM5    Ba 5d GM5             15.185  O 2p GM5#1             5.314     0.315    9.871    0.10
GM1    Ti 4s GM1#2           23.252  O 2s GM1#2            -8.335     0.996   31.587    0.10
GM2    Ba 5d GM2             11.705  O 3d GM2#2            61.113     1.550   49.408    0.10
GM1    Ba 5s GM1            -18.411  O 2s GM1#2            -8.335     0.272   10.076    0.07
GM5    Ti 4d GM5             30.470  O 3d GM5#1            61.426     0.831   30.956    0.07
GM5    Ba 5d GM5             15.185  O 2p GM5#2             6.729     0.227    8.456    0.07
GM2    Ba 5d GM2             11.705  O 2s GM2              -8.280     0.535   19.985    0.07
GM1    Ba 5d GM1             11.848  O 3d GM1              61.477     1.319   49.629    0.07
GM1    Ba 5p GM1             -3.518  O 2s GM1#1            -9.254     0.147    5.736    0.07
GM1    Ti 4s GM1#2           23.252  O 2p GM1#1             5.233     0.458   18.019    0.06
GM5    Ti 3p GM5            -24.975  O 3d GM5#3            80.019     2.556  104.993    0.06
GM2    Ti 3d GM2              7.930  O 3p GM2              37.674     0.664   29.744    0.05
GM5    Ba 5p GM5             -3.409  O 2p GM5#2             6.729     0.218   10.138    0.05
GM5    Ti 3p GM5            -24.975  O 3p GM5              38.315     1.236   63.290    0.04
GM1    Ti 3s GM1            -50.286  O 3s GM1#1           126.196     3.413  176.482    0.04
GM1    Ba 5s GM1            -18.411  O 2p GM1#1             5.233     0.445   23.643    0.04
GM5    Ba 5d GM5             15.185  O 3d GM5#3            80.019     1.201   64.833    0.03
GM5    Ti 4d GM5             30.470  O 2p GM5#2             6.729     0.414   23.740    0.03
GM5    Ba 5d GM5             15.185  O 2p GM5#3             7.200     0.136    7.986    0.03
GM2    Ti 3d GM2              7.930  O 3d GM2#2            61.113     0.881   53.183    0.03
GM2    Ba 5d GM2             11.705  O 3d GM2#1            60.060     0.749   48.355    0.02
GM3    Ba 5d GM3             15.418  O 3d GM3#2            79.932     0.981   64.513    0.02
GM5    Ba 5d GM5             15.185  O 3d GM5#1            61.426     0.680   46.241    0.02
GM1    Ba 7s GM1            142.688  O 2p GM1#2             7.169     1.717  135.519    0.02
GM1    Ba 5d GM1             11.848  O 3s GM1#1           126.196     1.423  114.348    0.02
GM1    Ba 7s GM1            142.688  O 2p GM1#1             5.233     1.608  137.456    0.01
GM1    Ti 3p GM1            -24.992  O 3s GM1#1           126.196     1.561  151.189    0.01
GM1    Ti 4p GM1             15.060  O 3s GM1#1           126.196     1.141  111.137    0.01
GM5    Ti 4p GM5             15.842  O 3d GM5#3            80.019     0.643   64.177    0.01
GM1    Ti 4s GM1#1            5.600  O 2s GM1#2            -8.335     0.134   13.935    0.01
GM5    Ti 3d GM5              9.310  O 2p GM5#1             5.314     0.038    3.996    0.01
GM1    Ti 4s GM1#2           23.252  O 2p GM1#2             7.169     0.147   16.082    0.01
