# same-irrep resonance integrals <phi_left | F(k) | phi_right>
# of the converged crystal Fock operator; energies on the aligned scale
# mix = sin^2(theta) with tan(2 theta) = 2|H| / dE (two-level mixing fraction)
# columns: irrep  left_level  E_left(eV)  right_level  E_right(eV)  |H|(eV)  dE(eV)  mix(%)

# k point GM (0,0,0)
X5-    Sr 4p X5-             -8.644  O 3d X5-              78.995     1.527   87.640    0.03
X3-    Ti 4s X3-#1            6.785  O 3d X3-              94.601     1.515   87.816    0.03
X3-    Ti 5s X3-             41.679  O 2s X3-              -8.770     0.858   50.449    0.03
X3-    Ti 4s X3-#2           21.681  O 2s X3-              -8.770     0.429   30.451    0.02
X1+    Sr 6s X1+            372.695  O 2p X1+               6.007     4.720  366.688    0.02
X1+    Sr 5s X1+              6.938  O 3d X1+              68.410     0.574   61.473    0.01
X1+    Sr 4d X1+             15.594  O 2s X1+              -8.382     0.166   23.975    0.00
X3-    Sr 4p X3-             -8.932  O 3d X3-              94.601     0.702  103.533    0.00
X1+    Ti 3p X1+            -25.233  O 3d X1+              68.410     0.415   93.643    0.00
X3-    Ti 3d X3-              9.856  O 2s X3-              -8.770     0.077   18.626    0.00
X1+    Sr 6s X1+            372.695  O 2s X1+              -8.382     0.685  381.076    0.00
X3-    Ti 3s X3-            -50.519  O 3d X3-              94.601     0.164  145.120    0.00
X5-    Sr 4p X5-             -8.644  O 3p X5-              49.758     0.032   58.402    0.00
